Country,Population,Area,Density
South Africa,59308690.0,1213090.0,48.9
Madagascar,27691018.0,581795.0,47.6
Montenegro,628066.0,13450.0,46.7
Belarus,9449323.0,202910.0,46.6
Colombia,50882891.0,1109500.0,45.9
Lithuania,2722289.0,62674.0,43.4
Djibouti,988000.0,23180.0,42.6
Mozambique,31255435.0,786380.0,39.7
Democratic Republic of the Congo,89561403.0,2267050.0,39.5
Palau,18094.0,460.0,39.3
Bahamas,393244.0,10010.0,39.3
Zimbabwe,14862924.0,386850.0,38.4
United States of America,331002651.0,9147420.0,36.2
Eritrea,3546421.0,101000.0,35.1
Kyrgyzstan,6524195.0,191800.0,34.0
Venezuela,28435940.0,882050.0,32.2
Laos,7275560.0,230800.0,31.5
Estonia,1326535.0,42390.0,31.3
Latvia,1886198.0,62200.0,30.3
Angola,32866272.0,1246700.0,26.4
Peru,32971854.0,1280000.0,25.8
Chile,19116201.0,743532.0,25.7
Brazil,212559417.0,8358140.0,25.4
Somalia,15893222.0,627340.0,25.3
Vanuatu,307145.0,12190.0,25.2
Sudan,43849260.0,1765048.0,24.8
Zambia,18383955.0,743390.0,24.7
Sweden,10099265.0,410340.0,24.6
Solomon Islands,686884.0,27990.0,24.5
Bhutan,771608.0,38117.0,20.2
Uruguay,3473730.0,175020.0,19.8
Papua New Guinea,8947024.0,452860.0,19.8
Niger,24206644.0,1266700.0,19.1
Algeria,43851044.0,2381740.0,18.4
South Sudan,11193725.0,610952.0,18.3
New Zealand,4822233.0,263310.0,18.3
Finland,5540720.0,303890.0,18.2
Paraguay,7132538.0,397300.0,18.0
Belize,397628.0,22810.0,17.4
Mali,20250833.0,1220190.0,16.6
Argentina,45195774.0,2736690.0,16.5
Oman,5106626.0,309500.0,16.5
Saudi Arabia,34813871.0,2149690.0,16.2
Congo (Congo-Brazzaville),5518087.0,341500.0,16.2
Norway,5421241.0,365268.0,14.8
Chad,16425864.0,1259200.0,13.0
Turkmenistan,6031200.0,469930.0,12.8
Bolivia,11673021.0,1083300.0,10.8
Russia,145934462.0,17098246.0,8.5
Central African Republic,4829767.0,622980.0,7.8
Canada,37742154.0,9093510.0,4.2
Botswana,2351627.0,566730.0,4.1
Australia,25499884.0,7682300.0,3.3
Côte d'Ivoire,26378274.0,0.0,0.0
Cabo Verde,555987.0,0.0,0.0
Holy See,801.0,0.0,0.0
